"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528.808592678583,609.701816167677,598.42702721095,537.503411521583,624.127100088605,539.315036780329,533.945921568642,632.241984642317,632.807798847893,524.37320939229,606.308821460846,556.449947162169,547.157813169519,630.219679386896,541.365690102163,561.483371229961,593.435767578553,532.947681375262,566.862347321147,537.072368551992,575.942291248642,605.266956300184,540.453664255616,605.587563711428,582.714033695957,614.754136802631,546.268597106672,536.893261013571,546.888772245828,593.821915579172,620.884429167799,592.145810565113,623.625346335189,560.079341723136,608.596994558902,543.77057822674,580.29086134242,525.64366730744,599.568558890472,612.91892988304,525.255324989909,555.148520803433,554.280439933409,577.217669166964,564.113379828245,563.372310373176,583.369082781807,599.557719937598,551.523985756773,599.845425953509,589.70428992639,618.344742989121,539.176551160055,570.000694760873,545.291451275788,549.529559524074,633.389468690548,578.670438558013,629.159299200242,526.891183659028,620.044789093102,543.790688922186,522.693598040848,522.511952766966,603.788957827772,525.609363493525,614.878128373634,566.041658882629,574.64986560618,582.724800948251,529.665121458214,537.786879226963,565.482625589759,548.352850768769
1133.12643493367,1300.63210343636,1275.57521772949,1149.29821472909,1336.58520281948,1156.51238856574,1148.86066678471,1350.00111691289,1357.01285914602,1123.19379943741,1293.07826928824,1187.73511943795,1173.21849448893,1343.43334904736,1155.85490401249,1204.7473168499,1271.84393073394,1146.52461271616,1218.40828366542,1146.7173695235,1234.6882255241,1296.21032551345,1160.4690898016,1296.47194973359,1244.38737107818,1309.97834094927,1172.23891466021,1153.56982723905,1170.87175579101,1275.5943926166,1326.55657590443,1263.72188647137,1338.59061471197,1199.34678073507,1297.80237413578,1163.21808621386,1246.73107845429,1123.03621960192,1282.16214637983,1310.56427206347,1129.96407207574,1191.76548212041,1185.23972235098,1236.24376863055,1203.90088081478,1207.88935001317,1248.79675130329,1284.73155796144,1181.40383465664,1281.5262578575,1265.51745764192,1321.06007816046,1150.74056335186,1224.30766595677,1172.9934484986,1178.65281671603,1356.42972590421,1240.79692108762,1346.7569146579,1126.11342974729,1326.1324076202,1168.51864690304,1116.69240707471,1122.42660850658,1294.01065055688,1125.38164282635,1320.57637178478,1214.97021874345,1228.2889295902,1248.03853034094,1136.78027588978,1150.86910823591,1213.40805998111,1179.11872405868
1413.66962599929,1608.76895058842,1575.9030620285,1428.54986926962,1663.68288259473,1444.34871735268,1442.91627940626,1672.14272782562,1692.7784713033,1400.52443327321,1598.83194797396,1471.57830676196,1464.77473706556,1659.42423235363,1433.10537632253,1505.45705189541,1585.60847236773,1439.62166648697,1526.77826391871,1421.950223698,1540.31768685312,1613.74051675605,1452.38302670656,1613.18722882236,1542.39467955135,1617.31703281341,1465.48480790481,1445.38247180105,1458.21253399348,1596.30635923603,1644.9134462126,1564.52086218232,1672.53574443131,1493.83008327098,1604.31682183031,1446.7513070847,1560.86404189724,1394.38191887756,1592.55723088492,1627.31036479173,1419.02181853509,1490.64302690692,1472.92683395524,1539.80695764062,1491.03410218675,1507.46380719494,1554.03839446481,1601.0861675416,1472.46290467517,1589.24189857489,1581.23432771297,1637.99023152427,1425.91935687368,1532.35625016761,1472.34202180881,1472.2179765056,1688.27826812377,1548.41738448758,1675.03055364168,1399.01207268862,1647.21453669504,1464.19313121866,1386.50726374957,1406.26392761707,1613.01468887606,1402.26998281971,1651.72422101558,1519.03836099129,1524.91064144293,1554.38557947194,1421.95154719374,1432.47827353834,1516.35187253584,1479.00161031312
1559.95287434523,1758.35215424921,1720.03500289607,1569.78199800422,1831.5640166096,1595.73268890806,1604.38588171401,1830.64480719958,1868.26484926114,1544.48785122421,1746.73204836692,1611.21649622531,1617.78097518374,1810.99680050661,1570.31586813948,1664.43271734023,1748.58211872165,1600.26363447882,1693.38765465748,1558.29483949888,1699.83974865021,1776.85932679425,1608.50594683938,1775.15015935115,1689.65569632606,1763.97415723976,1620.99220946429,1602.79727679875,1605.98118743664,1767.96682636386,1803.02424820204,1711.64972867471,1849.30612386052,1645.45807249111,1752.29311161053,1590.93215659637,1729.49249162458,1530.2913082983,1748.88061047336,1786.46755755202,1577.58219275648,1649.79781051248,1618.24006930612,1696.20951474955,1631.83580571194,1664.2502222757,1710.15890096906,1764.94604909489,1623.11661052206,1742.08555411639,1748.155675532,1795.28528734496,1561.37982156738,1697.30557831891,1636.03538906347,1626.83835283811,1858.57142148498,1709.39359338788,1842.4449323004,1536.38878056268,1809.08074988844,1623.78535469149,1521.64258358133,1559.24502981654,1778.57767327583,1545.18598633224,1828.37502695863,1680.4843926464,1673.55202500315,1712.15588832253,1573.77762884684,1576.57441208646,1676.58742387693,1642.15149782237
1639.08469770739,1830.12795587237,1787.80149620334,1642.60573948782,1919.96941998533,1678.66350662305,1698.46024392065,1908.47097958439,1963.28700169241,1621.847844736,1817.25819909685,1679.93037675618,1701.31151836706,1882.11741110887,1638.56221577869,1752.14360766433,1836.07624812668,1693.61770999652,1788.22874406993,1626.23265192031,1786.15487812627,1862.91967007687,1696.15196093052,1859.98942314097,1762.61104452474,1832.16429664634,1707.21044755727,1692.26461369495,1684.19616796579,1864.3300224625,1881.93771519599,1783.24038825816,1946.88302299976,1725.83987455663,1822.59893731131,1665.91480960021,1824.57592027023,1599.29846936719,1828.78654852018,1867.48635888745,1669.84728466544,1738.55632965668,1692.97432205586,1779.16627264309,1700.71771895364,1749.46023221174,1792.00687218337,1852.52521388478,1703.65257966676,1818.43223389501,1840.19937081408,1873.70680572556,1628.15027602037,1790.00179923422,1730.83884268259,1711.70142850066,1948.20581010659,1796.82998757945,1929.70814677185,1606.71557439308,1891.90848164039,1714.55171132688,1590.25791504476,1646.11643219069,1867.33075261329,1621.3116936874,1927.01568139453,1770.1145632888,1748.96339043938,1795.77039016681,1658.47700543747,1652.2690100914,1765.04863090964,1735.96777802376
1677.74297882899,1856.62938249357,1811.45370484052,1674.90502320208,1960.59174786538,1720.09177002666,1750.61162479445,1938.92045494448,2009.39063758245,1659.18420272174,1842.86338891029,1707.23267188072,1742.75025495034,1906.6649026308,1666.45173826236,1796.4447434708,1877.96889957213,1745.16628546394,1838.76334175851,1654.13107878731,1828.16905920498,1902.68565305348,1741.85905074014,1898.61575329413,1791.98159753913,1855.11359698275,1751.19069323929,1739.91150818069,1720.77425640068,1914.38561057181,1914.13415338165,1810.74825170292,1995.98141002148,1763.49927708432,1847.85322178802,1699.7550632848,1874.39104534883,1628.93305984118,1863.32401638298,1902.13174737949,1720.92462508217,1784.26796372601,1725.87525852627,1818.01069102152,1727.6584339904,1791.3252302137,1829.41623721601,1894.07468661347,1742.03960660683,1849.72007044354,1886.5414825152,1905.62871856285,1654.85408834683,1838.32239900363,1782.86467729847,1754.20317748577,1989.32022277053,1839.68767027345,1968.94342737432,1637.46356013156,1927.71711780313,1762.9213032736,1619.73627948958,1692.36156236941,1909.66707046276,1657.43333524812,1977.71055569176,1815.87280546599,1781.10239210477,1834.83924995258,1702.20827718817,1687.16503977547,1809.76437025344,1786.85563271097
1688.6662225701,1853.42444885974,1806.40439373298,1679.99654281245,1968.63429881513,1732.89107124096,1772.97057029852,1937.95677119142,2021.71094469719,1669.18625362172,1839.07090829056,1707.21648895383,1755.18326250991,1900.8561640321,1667.63837449051,1810.65361664905,1888.57169800898,1767.0465728628,1858.10731354154,1655.52704300758,1839.71605509942,1910.90221552489,1758.29599319818,1905.84449791035,1792.46144267385,1848.70784765261,1765.85533499196,1758.20221071328,1729.05817514242,1932.00381259641,1915.18203046366,1809.2181316742,2011.32582573318,1772.07801834353,1843.65882060718,1705.85766841572,1892.45697450379,1632.32998046226,1867.36637357748,1905.62905420074,1742.76925775408,1800.00035734349,1730.68272539376,1826.78331833686,1726.97718567028,1803.34743400987,1836.67088621962,1904.08935267525,1751.64824228225,1851.00242934968,1901.14901891465,1906.5661273671,1655.14755711223,1855.59153572787,1804.55967874407,1767.43601705179,1997.33832711828,1851.82785870727,1975.56321114944,1641.74283615306,1931.86028828445,1781.50587296134,1623.14034713829,1710.13025769931,1920.15218963892,1666.33934451276,1994.86110842616,1831.11957126836,1784.2996819038,1843.53947599566,1717.45556294963,1694.44836232329,1824.13765859113,1807.40880270959
1679.25357512745,1829.44052233093,1781.44641513355,1665.55037140141,1952.98581850612,1724.56808908436,1772.69663907499,1914.7985678605,2009.15347555026,1659.21059630387,1814.76808092695,1687.9455540984,1746.24338673559,1873.97684535816,1649.93522926144,1802.56823561635,1876.25259759736,1766.41808843234,1853.99895880972,1638.1649549344,1828.87956441617,1896.1736899151,1752.88718297386,1890.30956100174,1772.49830624307,1822.01031176844,1758.7638357572,1754.45550973625,1716.78265397177,1925.37175466998,1894.08702822721,1787.28019703781,2001.60323312701,1759.49979065539,1818.94551710738,1691.96276328213,1886.74826960091,1617.0195489834,1849.53376523657,1886.80990575907,1742.42213571127,1793.41563298976,1715.32390706995,1813.65775060303,1706.86643787783,1793.41135446199,1822.07348672568,1891.04331042941,1740.24897862056,1830.96575915856,1892.2276348816,1885.48916677871,1636.8292540915,1849.65477523661,1803.27201994498,1759.04708775869,1981.28668422796,1841.35910261013,1958.56558768137,1627.08288670731,1913.26054334636,1777.71805675455,1607.95594687454,1706.54265267037,1907.31087171741,1655.43169010931,1986.97346115163,1823.691836312,1766.82290063738,1830.12869980403,1711.51624130884,1681.74212951505,1816.02158152,1805.05522655679
1654.50912641727,1790.56656752799,1742.33966999941,1636.68128595739,1919.68137156161,1700.2284380915,1754.75014423703,1875.58371281005,1977.82471378889,1634.21852185346,1775.80517233259,1654.73740342268,1721.12164603505,1832.13247021692,1618.49921330598,1777.5209611949,1846.70605927378,1748.2355251619,1831.77926231353,1607.15587669782,1801.16216727152,1864.33193181857,1730.72529619853,1857.84988386532,1737.69412214752,1780.95429862761,1735.08356251564,1733.71095262955,1689.15497599197,1900.13333058275,1856.8642522311,1750.63585223252,1972.80133938758,1731.11142322195,1779.58742032375,1663.2501786345,1862.76063629088,1587.99116851004,1815.6082764021,1851.6011713775,1724.76490664544,1769.76795616591,1685.09336892687,1784.16311629933,1672.72543757443,1766.88288439054,1791.22444602451,1860.6994548964,1713.0932699214,1795.39740952656,1865.40782190091,1848.38543087398,1605.03135610429,1825.9040059922,1784.08993426127,1734.24799197622,1947.2999314022,1813.80979774831,1924.04486592501,1598.4859758389,1877.92051898986,1756.66802522968,1579.14089293472,1686.49023439081,1876.94902407651,1629.68888680446,1959.92766103702,1798.96318745554,1734.18688105726,1800.19537009353,1689.37743624929,1654.15965009481,1790.7900274128,1784.92677004442
