"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528.808592678543,609.70181616666,598.427027209909,537.503411521567,624.127100087568,539.315036780311,533.945921568607,632.241984641368,632.807798846867,524.373209392271,606.308821459822,556.449947162233,547.157813169494,630.219679385969,541.36569010216,561.483371229914,593.435767577379,532.947681375251,566.862347321095,537.072368551968,575.94229124856,605.266956299073,540.453664255594,605.587563710325,582.714033695423,614.754136801655,546.268597106706,536.893261013528,546.888772245796,593.821915577955,620.884429166794,592.145810564021,623.625346334108,560.07934172312,608.596994557889,543.770578226744,580.290861342388,525.64366730738,599.568558889367,612.918929881989,525.255324989893,555.148520803376,554.280439933353,577.217669166944,564.1133798282,563.372310373171,583.369082781046,599.557719936454,551.523985756785,599.845425952425,589.704289925175,618.344742988107,539.17655116001,570.000694760845,545.291451275759,549.529559524043,633.389468689548,578.670438557982,629.159299199233,526.891183659035,620.044789092073,543.790688922233,522.693598040843,522.511952766979,603.788957826641,525.609363493462,614.878128372508,566.041658882648,574.649865606131,582.724800947921,529.665121458194,537.786879226967,565.48262558977,548.352850768725
1133.12643493366,1300.63210343408,1275.57521772752,1149.29821472908,1336.58520281649,1156.51238856573,1148.86066678468,1350.00111691166,1357.01285914442,1123.19379943741,1293.07826928605,1187.73511943802,1173.21849448891,1343.43334904631,1155.85490401249,1204.74731684983,1271.84393073155,1146.52461271615,1218.40828366534,1146.71736952349,1234.68822552397,1296.21032551085,1160.46908980158,1296.47194973102,1244.38737107735,1309.97834094701,1172.23891466025,1153.56982723901,1170.87175579098,1275.59439261395,1326.55657590178,1263.72188646943,1338.59061470872,1199.34678073505,1297.80237413356,1163.21808621386,1246.73107845423,1123.03621960191,1282.16214637751,1310.56427206087,1129.96407207574,1191.76548212034,1185.23972235092,1236.24376863051,1203.90088081472,1207.88935001316,1248.79675130201,1284.73155795891,1181.40383465666,1281.52625785527,1265.51745763949,1321.06007815786,1150.74056335183,1224.30766595673,1172.99344849856,1178.652816716,1356.42972590271,1240.79692108757,1346.75691465657,1126.1134297473,1326.13240761744,1168.51864690309,1116.69240707471,1122.42660850659,1294.01065055423,1125.38164282634,1320.57637178164,1214.97021874348,1228.28892959012,1248.03853034038,1136.78027588977,1150.86910823592,1213.40805998113,1179.11872405863
1413.66962598429,1608.76895038012,1575.90306178761,1428.5498692638,1663.68288245453,1444.34871734685,1442.91627939346,1672.14272765844,1692.77847119165,1400.52443326595,1598.83194775483,1471.57830678159,1464.77473705731,1659.42423232241,1433.10537632156,1505.45705188164,1585.60847211851,1439.62166648285,1526.77826390501,1421.95022368957,1540.31768683274,1613.74051654166,1452.38302669912,1613.18722860829,1542.39467942242,1617.31703269265,1465.48480791612,1445.38247178552,1458.21253398283,1596.30635899161,1644.91344604861,1564.52086192683,1672.53574430062,1493.83008326631,1604.31682161791,1446.75130708594,1560.86404188995,1394.38191885532,1592.55723065001,1627.31036459996,1419.02181852854,1490.64302688936,1472.92683393745,1539.80695763566,1491.03410217336,1507.46380719348,1554.0383942888,1601.08616731006,1472.46290467889,1589.24189833953,1581.23432745531,1637.99023135012,1425.91935685799,1532.35625016017,1472.34202179937,1472.21797649573,1688.27826800489,1548.41738448043,1675.0305534567,1399.01207269105,1647.21453653159,1464.19313123445,1386.5072637479,1406.26392762234,1613.01468865855,1402.26998279615,1651.72422084776,1519.03836099644,1524.91064142977,1554.38557939582,1421.9515471864,1432.47827353975,1516.35187253879,1479.00161029883
1559.95287435233,1758.35215427589,1720.03500296251,1569.78199800703,1831.56401655143,1595.73268891079,1604.38588171987,1830.64480704468,1868.26484903239,1544.48785122764,1746.73204840656,1611.21649621603,1617.78097518755,1810.99680034513,1570.31586813996,1664.43271734609,1748.58211878064,1600.2636344807,1693.38765466288,1558.29483950302,1699.8397486577,1776.85932681645,1608.50594684282,1775.15015937385,1689.65569637295,1763.97415725958,1620.9922094591,1602.79727680592,1605.98118744165,1767.9668264123,1803.02424817517,1711.64972875373,1849.30612378803,1645.45807249318,1752.29311164302,1590.93215659577,1729.49249162689,1530.2913083091,1748.88061052229,1786.46755755338,1577.58219275947,1649.79781052021,1618.2400693144,1696.20951475138,1631.83580571803,1664.25022227631,1710.15890102756,1764.94604913464,1623.11661052035,1742.08555416872,1748.15567559727,1795.28528732931,1561.37982157513,1697.30557832177,1636.0353890677,1626.83835284261,1858.57142126783,1709.39359339037,1842.44493215422,1536.38878056151,1809.08074985826,1623.78535468429,1521.64258358213,1559.24502981411,1778.57767329969,1545.18598634344,1828.37502692462,1680.48439264431,1673.55202500843,1712.15588834776,1573.77762885027,1576.57441208578,1676.58742387573,1642.15149782875
1639.08469771045,1830.12795593858,1787.80149626869,1642.60573948898,1919.96942004825,1678.66350662421,1698.46024392317,1908.47097969347,1963.28700179022,1621.84784473749,1817.2581991629,1679.9303767522,1701.31151836872,1882.11741102739,1638.56221577889,1752.14360766716,1836.07624819115,1693.61770999734,1788.22874407273,1626.23265192199,1786.1548781308,1862.9196701414,1696.151960932,1859.98942320578,1762.61104455529,1832.16429660334,1707.21044755501,1692.26461369804,1684.19616796794,1864.33002252408,1881.93771526179,1783.24038832365,1946.88302305818,1725.8398745576,1822.59893737743,1665.91480959996,1824.57592027185,1599.2984693717,1828.78654858586,1867.48635895294,1669.84728466676,1738.55632966021,1692.97432205948,1779.16627264421,1700.71771895644,1749.46023221205,1792.00687222528,1852.52521394907,1703.65257966601,1818.43223396092,1840.19937087743,1873.70680579145,1628.15027602347,1790.00179923579,1730.83884268443,1711.70142850265,1948.20581020885,1796.82998758107,1929.70814687682,1606.71557439259,1891.90848170535,1714.55171132377,1590.2579150451,1646.1164321896,1867.3307526771,1621.31169369223,1927.01568145326,1770.11456328773,1748.96339044231,1795.77039018479,1658.47700543895,1652.26901009112,1765.04863090903,1735.96777802656
1677.74297883281,1856.62938259326,1811.4537049329,1674.90502320351,1960.59174798777,1720.09177002823,1750.61162479713,1938.92045512968,2009.39063780031,1659.18420272355,1842.86338900772,1707.23267187562,1742.75025495266,1906.6649029379,1666.45173826259,1796.44474347516,1877.96889968355,1745.1662854648,1838.76334176195,1654.13107878932,1828.16905921225,1902.68565316712,1741.85905074162,1898.61575340652,1791.98159758268,1855.11359714555,1751.19069323607,1739.9115081838,1720.77425640354,1914.38561065832,1914.13415349231,1810.7482517973,1995.98141015454,1763.4992770857,1847.85322188589,1699.75506328448,1874.39104535095,1628.9330598464,1863.32401648814,1902.13174748999,1720.92462508349,1784.26796372977,1725.87525853107,1818.01069102325,1727.65843399406,1791.32523021416,1829.4162372815,1894.07468672695,1742.03960660579,1849.72007054503,1886.5414826304,1905.6287186722,1654.85408835055,1838.32239900551,1782.86467730054,1754.2031774886,1989.32022297858,1839.6876702761,1968.943427574,1637.46356013099,1927.71711791787,1762.92130327031,1619.73627948997,1692.36156236839,1909.66707057893,1657.43333525395,1977.71055582311,1815.87280546427,1781.10239210894,1834.8392499812,1702.20827718955,1687.16503977511,1809.76437025248,1786.85563271411
1688.66622257025,1853.42444885823,1806.4043937326,1679.99654281251,1968.63429881144,1732.89107124099,1772.97057036193,1937.95677118621,2021.71094468994,1669.18625362181,1839.0709082894,1707.2164889537,1755.18326250993,1900.85616398478,1667.63837449052,1810.65361664905,1888.57169800727,1767.04657288363,1858.10731361163,1655.52704300767,1839.71605509937,1910.90221552252,1758.29599319839,1905.84449790805,1792.461442674,1848.70784762769,1765.85533499192,1758.20221071392,1729.05817514248,1932.00381410522,1915.18203046088,1809.21813167394,2011.32582572885,1772.07801834354,1843.65882060588,1705.85766841571,1892.45697454436,1632.3299804626,1867.36637357598,1905.62905419828,1742.76925775449,1800.00035734419,1730.68272539385,1826.78331833685,1726.97718567036,1803.34743400987,1836.67088621927,1904.08935267311,1751.64824228223,1851.00242934845,1901.14901891282,1906.56612736451,1655.14755711241,1855.591535769,1804.5596787897,1767.43601705182,1997.33832711154,1851.82785870724,1975.56321114352,1641.74283615302,1931.86028828141,1781.5058729605,1623.14034713831,1710.1302576992,1920.15218963642,1666.33934451305,1994.86110842224,1831.11957126838,1784.29968190382,1843.53947599546,1717.45556294967,1694.44836232327,1824.13765859114,1807.40880278084
1679.25357515939,1829.44052315388,1781.4464158219,1665.55037141145,1952.98581999797,1724.56808910016,1772.69663901543,1914.79856937684,2009.15347843259,1659.21059631973,1814.76808153144,1687.94555406768,1746.24338675701,1873.9768477891,1649.93522926313,1802.56823566231,1876.25259870164,1766.41808841274,1853.99895874344,1638.16495494941,1828.87956448443,1896.17369098857,1752.88718297566,1890.3095622051,1772.49830661305,1822.01031273565,1758.76383572761,1754.45550973996,1716.78265399705,1925.37175323833,1894.08702919254,1787.28019767722,2001.60323505389,1759.49979066672,1818.9455178289,1691.96276328002,1886.7482695585,1617.01954901719,1849.5337660445,1886.80990668388,1742.4221357129,1793.41563299361,1715.32390710508,1813.65775061644,1706.8664379029,1793.41135446608,1822.07348724429,1891.04331165064,1740.24897861273,1830.96575995798,1892.22763631495,1885.48916767405,1636.82925411928,1849.65477519399,1803.27201990207,1759.04708779195,1981.28668682592,1841.35910263585,1958.56558928734,1627.08288670382,1913.26054430661,1777.71805675102,1607.95594687322,1706.54265267123,1907.31087308185,1655.43169014929,1986.97346257104,1823.69183629472,1766.82290066586,1830.1287000884,1711.51624130785,1681.74212951227,1816.02158150813,1805.05522648957
1654.50912639693,1790.56656697352,1742.33966945437,1636.68128594975,1919.68137072782,1700.22843808214,1754.75014423692,1875.58371188591,1977.82471215935,1634.21852184338,1775.80517175714,1654.7374034556,1721.12164602226,1832.13246859996,1618.49921330463,1777.5209611682,1846.70605864147,1748.23552516186,1831.77926231398,1607.15587668601,1801.16216723175,1864.33193120327,1730.72529619843,1857.8498831847,1737.69412191124,1780.95429767841,1735.08356253326,1733.71095262946,1689.15497597637,1900.13333059709,1856.86425165537,1750.63585170942,1972.80133827931,1731.11142321493,1779.5874197735,1663.25017863612,1862.76063629896,1587.99116847704,1815.60827589338,1851.60117082267,1724.76490664527,1769.7679561658,1685.09336890223,1784.16311629101,1672.72543755263,1766.88288438811,1791.22444570509,1860.69945420359,1713.09326992647,1795.39740901397,1865.40782107707,1848.38543032338,1605.03135608189,1825.9040060001,1784.08993426144,1734.24799195687,1947.2999299519,1813.80979773341,1924.0448649863,1598.48597584246,1877.92051842053,1756.66802522963,1579.14089293654,1686.49023438565,1876.94902330477,1629.68888677482,1959.92766023254,1798.96318746559,1734.18688103568,1800.19536992921,1689.37743625578,1654.1596500967,1790.79002741968,1784.92677004473
1618.16380181938,1741.05414906544,1693.21146448807,1597.13918783548,1873.22290090506,1663.70252289934,1722.95896899296,1824.78631546657,1932.33173477714,1597.89766917621,1726.39529861228,1611.43748146037,1683.71056897075,1779.71126920779,1577.06640198736,1739.53377172824,1804.19629610799,1716.31795610054,1795.54135752043,1566.20297819093,1760.68890238971,1819.72120449626,1695.66816305669,1812.80413427448,1692.12210009675,1729.78457769234,1698.7129427086,1699.80475279129,1650.03380694928,1860.59915515601,1807.91634229893,1703.41060589,1929.46773994947,1690.88313476066,1729.81174410747,1623.53187428843,1824.69438002565,1548.87775500688,1769.84615009275,1804.36585190759,1693.54781095912,1733.03282622547,1643.87698409183,1742.41353337418,1628.45517781294,1727.78583696649,1748.27600886763,1817.36897889307,1674.08885069717,1748.52470353142,1824.94878813096,1799.63456430307,1563.459980818,1788.45153447246,1750.9338471642,1696.95636716862,1899.95799168279,1773.33175717113,1876.53187875492,1559.60528030461,1830.27015653342,1722.24981137914,1540.30365698784,1653.68923169136,1833.41700638693,1592.79933824146,1918.20554012142,1760.99885045672,1690.42940639521,1757.89941403019,1654.80296367048,1615.47519473013,1752.49937850631,1750.96663489915
